"Application #","Status","Application Type","Date","Address","Expiration Date","Short Notes",
"26BC11775","Review In-Progress","Multi-Family Renovation","06/30/2026","550 GARFIELD AVE, 202, COCOA BEACH FL 32931",,,
"26BC11847","Review In-Progress","RES Fence","06/30/2026","4230 SKYWAY DR, COCOA FL 32927",,,
"26BC11808","Received","RES Electrical","06/30/2026","1465 DUDA DR, FPL, PALM BAY FL 32909",,,
"26FP00291","Received","County Sprinkler","06/30/2026","6553 BANDINI WAY, MELBOURNE FL 32940",,,
"26BC11780","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","7620 TURKEY POINT DR, TITUSVILLE FL 32780",,,
"26BC11773","Review In-Progress","RES Solar Photovoltaic","06/30/2026","4509 PONDS DR, COCOA FL 32927",,,
"26BC11774","Review In-Progress","RES Plumbing","06/30/2026","301 GEMINI DR, SATELLITE BEACH FL 32937",,,
"26BC11809","Awaiting Client Feedback","RES Pool","06/30/2026","2201 ABALONE AVE, INDIALANTIC FL 32903",,,
"26BC11849","Received","RES Doors-Windows-Shutters","06/30/2026","2850 SUNSET RD, MELBOURNE FL 32904",,,
"26BC11848","Received","RES Doors-Windows-Shutters","06/30/2026","5630 GRAHAM ST, COCOA FL 32927",,,
"26BC11761","Review In-Progress","RES Plumbing","06/30/2026","4774 QUAIL RUN PL, MELBOURNE FL 32904",,,
"26BC11828","Received","RES Demolition","06/30/2026","7972 HIGHWAY A1A, MELBOURNE BEACH FL 32951",,,
"26BC11824","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","3155 HIGHWAY A1A, MELBOURNE BEACH FL 32951",,,
"26BC11812","Issued","RES HVAC-Mechanical","06/30/2026","50 N TROPICAL WAY, MERRITT ISLAND FL 32952",,,
"26BC11793","Issued","RES HVAC-Mechanical","06/30/2026","1009 PALM BROOK DR, MELBOURNE FL 32940",,,
"26BC11807","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","487 KIMBERLY DR, MELBOURNE FL 32940",,,
"26BC11814","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","4113 SNOWY EGRET DR, MELBOURNE FL 32904",,,
"26BC11852","Issued","RES HVAC-Mechanical","06/30/2026","831 THRASHER DR, ROCKLEDGE FL 32955",,,
"26BC11820","Issued","RES HVAC-Mechanical","06/30/2026","1835 N HIGHWAY A1A, A-602, INDIALANTIC FL 32903",,,
"26BC11771","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","5265 CREEKWOOD DR, MELBOURNE FL 32940",,,
"26FP00290","Review In-Progress","City Fire Permit","06/30/2026","2240 MINTON RD, CITYHL, WEST MELBOURNE FL 32904",,,
"26BC11772","Issued","RES HVAC-Mechanical","06/30/2026","1923 CRANE CREEK BLVD, MELBOURNE FL 32940",,,
"26BC11816","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","3425 SPARTINA AVE, MERRITT ISLAND FL 32953",,,
"26BC11770","Review In-Progress","COM Renovation","06/30/2026","200 S SYKES CREEK PKWY, A-404, MERRITT ISLAND FL 32952",,,
"26BC11845","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","1178 POTOMAC DR, MERRITT ISLAND FL 32952",,,
"26BC11855","Received","RES SFR Aluminum Structure","06/30/2026","1330 MARTIN BLVD, MERRITT ISLAND FL 32952",,,
"26BC11803","Issued","RES Reroof","06/30/2026","1555 CUNNINGHAM AVE, MERRITT ISLAND FL 32952",,,
"26BC11768","Review In-Progress","RES Pool","06/30/2026","2853 EDESTUS DR, MELBOURNE FL 32940",,,
"26BC11788","Review In-Progress","COM HVAC-Mechanical","06/30/2026","1821 LONG IRON DR, 428, ROCKLEDGE FL 32955",,,
"26BC11800","Issued","RES HVAC-Mechanical","06/30/2026","3104 SAVOY DR, MELBOURNE FL 32940",,,
"26BC11799","Review In-Progress","RES Electrical","06/30/2026","802 LOGGERHEAD ISLAND DR, SATELLITE BEACH FL 32937",,,
"26BC11762","Review In-Progress","RES SFR-Duplex New","06/30/2026","4707 LYNDOCH DR, ROCKLEDGE FL 32955",,,
"26BC11819","Review In-Progress","RES Solar Photovoltaic","06/30/2026","1695 SIMERICK LN, MELBOURNE FL 32940",,,
"26BC11856","Received","RES Fence","06/30/2026","8431 PARAGRASS AVE, MELBOURNE FL 32940",,,
"26BC11759","Review In-Progress","RES Fence","06/30/2026","4410 CHIMING LN, ROCKLEDGE FL 32955",,,
"26BC11802","Review In-Progress","RES Doors-Windows-Shutters","06/30/2026","6978 HAMMOCK TRACE DR, MELBOURNE FL 32940",,,
"26BC11833","Review In-Progress","RES SFR-Duplex New","06/30/2026","2753 EDESTUS DR, MELBOURNE FL 32940",,,
"26BC11798","Review In-Progress","RES Solar Photovoltaic","06/30/2026","389 COYOTE DR, COCOA FL 32927",,,
"26BC11811","Issued","RES HVAC-Mechanical","06/30/2026","6795 RIVEREDGE DR, TITUSVILLE FL 32780",,,
